hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000BBEtyQAH,92,82.735,410830,2,3,a0R4K0000020w1ZUAQ,a0P4K000000fx3NUAQ
0034K00000B8gO2QAJ,100,97.8925,343065,2,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3PUAQ
0034K00000B8gO9QAJ,100,0,483447,2,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3QUAQ
0034K00000AAp6EQAT,100,79.56,541088,2,3,a0R4K0000020w1ZUAQ,a0P4K000000fx3RUAQ
0034K00000B8gOYQAZ,100,74.5675,480523,2,3,a0R4K0000020w1ZUAQ,a0P4K000000fx3SUAQ
0034K00000B8gOWQAZ,100,0,18405,0,1,a0R4K0000020w1ZUAQ,a0P4K000000fx3TUAQ
0034K00000B8gOkQAJ,100,88.405,528185,2,3,a0R4K0000020w1ZUAQ,a0P4K000000fx3WUAQ
0034K00000B8gOKQAZ,100,71.9,297704,3,1,a0R4K0000020w1ZUAQ,a0P4K000000fx3YUAQ
0034K00000BBF3uQAH,100,88.7325,1026442,3,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3aUAA
0034K00000BAy3XQAT,100,95.6375,291274,2,1,a0R4K0000020w1ZUAQ,a0P4K000000fx3bUAA
0034K00000B8gOfQAJ,100,80.8575,180481,3,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3cUAA
0034K00000B8gOHQAZ,100,78.7175,217745,2,1,a0R4K0000020w1ZUAQ,a0P4K000000fx3dUAA
0034K00000B8gO8QAJ,100,83.22,67134,2,1,a0R4K0000020w1ZUAQ,a0P4K000000fx3eUAA
0034K00000B8gOTQAZ,100,71.655,1028491,2,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3fUAA
0034K00000B8gO4QAJ,96,83.36,363925,3,3,a0R4K0000020w1ZUAQ,a0P4K000000fx3gUAA
0034K00000B8gOiQAJ,100,79.925,503760,2,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3hUAA
0034K00000B8gOVQAZ,88,68.035,52534,2,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3iUAA
0034K00000B8gNxQAJ,100,66.0375,210513,2,2,a0R4K0000020w1ZUAQ,a0P4K000000fx3jUAA
0034K00000B8uNuQAJ,,,85153,,,a0R4K0000020w1ZUAQ,a0P4K0000012WEAUA2
0034K00000B8uMTQAZ,,,301743,,,a0R4K0000020w1ZUAQ,a0P4K0000012WEBUA2
0034K0000081eLyQAI,,,112795,,,a0R4K0000020w1ZUAQ,a0P4K0000012RcxUAE
0034K00000B8uMvQAJ,,,216006,,,a0R4K0000020w1ZUAQ,a0P4K0000012WECUA2
