hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000AAqD5QAL,,,0,,,a0R4K000001z5C4UAI,a0P4K000000fx1eUAA
0034K00000BAy34QAD,100,93.18,887219,2,3,a0R4K000001z5C4UAI,a0P4K000000fx1fUAA
0034K00000B8gOhQAJ,100,74.035,137896,3,2,a0R4K000001z5C4UAI,a0P4K000000fx1hUAA
0034K00000B8gOQQAZ,100,78.3825,840909,3,2,a0R4K000001z5C4UAI,a0P4K000000fx1iUAA
0034K00000BAy3UQAT,100,79.545,1612422,3,3,a0R4K000001z5C4UAI,a0P4K000000fx1jUAA
0034K000009yddnQAA,100,90.905,703365,1,3,a0R4K000001z5C4UAI,a0P4K000000fx1kUAA
0034K000009yICQQA2,,,0,,,a0R4K000001z5C4UAI,a0P4K000000fx1lUAA
0034K00000BAy2zQAD,100,88.39,57391,3,2,a0R4K000001z5C4UAI,a0P4K000000fx1mUAA
0034K00000B8gO7QAJ,100,72.185,741133,3,3,a0R4K000001z5C4UAI,a0P4K000000fx1nUAA
0034K00000AAqO5QAL,100,62.3675,482327,3,2,a0R4K000001z5C4UAI,a0P4K000000fx1oUAA
0034K00000AApMVQA1,,0,584,0,1,a0R4K000001z5C4UAI,a0P4K000000fx1uUAA
