hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000BBF3uQAH,100,90.91,930217,3,3,a0R4K000001z16cUAA,a0P4K000001Lv10UAC
0034K00000BAy3XQAT,100,93.18,275661,2,2,a0R4K000001z16cUAA,a0P4K000001Lv12UAC
0034K00000BAy3jQAD,100,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv13UAC
0034K00000B8gOmQAJ,100,93.18,541689,2,2,a0R4K000001z16cUAA,a0P4K000001Lv14UAC
0034K00000B8gOfQAJ,100,71.595,87981,2,2,a0R4K000001z16cUAA,a0P4K000001Lv15UAC
0034K00000BAy3DQAT,100,90.905,191180,2,1,a0R4K000001z16cUAA,a0P4K000001Lv16UAC
0034K00000B8gOHQAZ,100,88.635,537815,3,2,a0R4K000001z16cUAA,a0P4K000001Lv19UAC
0034K00000B8gO8QAJ,100,73.865,194439,3,1,a0R4K000001z16cUAA,a0P4K000001Lv1AUAS
0034K00000B8uMvQAJ,,,132131,,,a0R4K000001z16cUAA,
0034K00000B8gOTQAZ,100,72.725,453527,2,1,a0R4K000001z16cUAA,a0P4K000001Lv1BUAS
0034K00000B8gO4QAJ,100,75,406664,3,3,a0R4K000001z16cUAA,a0P4K000001Lv1CUAS
0034K00000B8gOBQAZ,100,73.865,677184,2,3,a0R4K000001z16cUAA,a0P4K000001Lv1DUAS
0034K00000B8gOiQAJ,100,72.725,275548,2,2,a0R4K000001z16cUAA,a0P4K000001Lv1IUAS
0034K00000B8gOVQAZ,100,52.275,50436,2,1,a0R4K000001z16cUAA,a0P4K000001Lv1KUAS
0034K00000B8gNxQAJ,100,61.365,154821,3,2,a0R4K000001z16cUAA,a0P4K000001Lv1LUAS
0034K00000B8gNoQAJ,100,67.045,78511,2,1,a0R4K000001z16cUAA,a0P4K000001Lv1PUAS
0034K00000BBF49QAH,100,72.725,216163,2,2,a0R4K000001z16cUAA,a0P4K000001Lv1SUAS
0034K00000B8uNuQAJ,,,122646,,,a0R4K000001z16cUAA,
0034K00000B8uNUQAZ,,,49726,,,a0R4K000001z16cUAA,
0034K00000B8uMTQAZ,,,128502,,,a0R4K000001z16cUAA,a0P4K000001Lv1WUAS
0034K00000B8uNfQAJ,,0,,,,a0R4K000001z16cUAA,
0034K00000B8uM7QAJ,,0,445,,,a0R4K000001z16cUAA,
0034K000009yF7tQAE,,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv1OUAS
0034K000009yF7xQAE,,0,0,,,a0R4K000001z16cUAA,a0P4K00000126Q4UAI
0034K00000BAy3rQAD,,0,184,,,a0R4K000001z16cUAA,a0P4K000001Lv11UAC
0034K00000AApGIQA1,,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv0cUAC
0034K00000BAy39QAD,,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv0TUAS
0034K00000BAy3FQAT,,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv0GUAS
0034K00000BAy3LQAT,,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv0WUAS
0034K00000BAy3WQAT,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuzoUAC
0034K00000BAy3YQAT,,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv0mUAC
0034K00000BAy3cQAD,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuzrUAC
0034K00000BAy3vQAD,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuzeUAC
0034K00000BAy40QAD,,0,259,,,a0R4K000001z16cUAA,a0P4K000001Lv0RUAS
0034K00000BBF3rQAH,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuzXUAS
0034K00000BBF3zQAH,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuznUAC
0034K00000BBF45QAH,,0,856,,,a0R4K000001z16cUAA,a0P4K000001Lv05UAC
0034K00000BBPB6QAP,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuzWUAS
0034K00000I6xHbQAJ,,0,0,,,a0R4K000001z16cUAA,
0034K00000AAqKAQA1,,0,12416,0,1,a0R4K000001z16cUAA,
0034K00000I6vd9QAB,,,0,,,a0R4K000001z16cUAA,
